Frequency_Hz	H1_abs	H2_abs	Coherence
1.72246145e+00	4.82130614e-01	4.82717069e-01	9.98785096e-01
1.72940686e+00	5.10716116e-01	5.11315286e-01	9.98828180e-01
1.73635227e+00	5.44291577e-01	5.45353977e-01	9.98051907e-01
1.74329768e+00	5.88851978e-01	5.90062619e-01	9.97948284e-01
1.75024309e+00	6.38908516e-01	6.40751450e-01	9.97123792e-01
1.75718850e+00	7.02842165e-01	7.05599136e-01	9.96092723e-01
1.76413391e+00	7.88717917e-01	7.92209969e-01	9.95592012e-01
1.77107932e+00	8.94292301e-01	9.00294617e-01	9.93332942e-01
1.77802473e+00	1.05155406e+00	1.06230588e+00	9.89878792e-01
1.78497013e+00	1.26531039e+00	1.28249574e+00	9.86600073e-01
1.79191554e+00	1.58588789e+00	1.62518432e+00	9.75820328e-01
1.79886095e+00	2.15724360e+00	2.26859896e+00	9.50914480e-01
1.80580636e+00	3.33686814e+00	3.97219019e+00	8.40057494e-01
1.81275177e+00	4.21145646e+00	1.36041185e+01	3.09572168e-01
1.81969718e+00	4.34005018e+00	5.74041780e+00	7.56051272e-01
1.82664259e+00	3.11586769e+00	3.38337764e+00	9.20934056e-01
1.83358800e+00	2.29475900e+00	2.45881416e+00	9.33278745e-01
1.84053341e+00	1.42324573e+00	1.47643680e+00	9.63973353e-01
1.84747882e+00	1.04240115e+00	1.06406529e+00	9.79640213e-01
1.85442423e+00	8.29438403e-01	8.42358380e-01	9.84662137e-01
1.86136963e+00	6.78245430e-01	6.86386455e-01	9.88139299e-01
1.86831504e+00	5.63636098e-01	5.68813520e-01	9.90897858e-01
1.87526045e+00	4.80562108e-01	4.83740466e-01	9.93429622e-01
1.88220586e+00	4.21298390e-01	4.23478753e-01	9.94851305e-01
1.88915127e+00	3.71177204e-01	3.73377934e-01	9.94105891e-01
1.89609668e+00	3.28992387e-01	3.30319184e-01	9.95983290e-01
1.90304209e+00	2.95795674e-01	2.96970886e-01	9.96042671e-01
1.90998750e+00	2.68344600e-01	2.69193653e-01	9.96845938e-01
1.91693291e+00	2.40873533e-01	2.41999970e-01	9.95345300e-01
1.92387832e+00	2.16395980e-01	2.17311905e-01	9.95785208e-01
1.93082373e+00	1.96287746e-01	1.96936381e-01	9.96706370e-01
1.93776913e+00	1.78538536e-01	1.79302824e-01	9.95737450e-01
1.94471454e+00	1.58797699e-01	1.59635282e-01	9.94753143e-01
1.95165995e+00	1.40484452e-01	1.41237124e-01	9.94670857e-01
1.95860536e+00	1.26330954e-01	1.27015699e-01	9.94608971e-01
1.96555077e+00	1.14190887e-01	1.14813226e-01	9.94579550e-01
1.97249618e+00	1.02506086e-01	1.03184719e-01	9.93423121e-01
1.97944159e+00	9.19591960e-02	9.25426668e-02	9.93695116e-01
1.98638700e+00	8.30964074e-02	8.35129469e-02	9.95012276e-01
1.99333241e+00	7.45049284e-02	7.51164374e-02	9.91859185e-01
2.00027782e+00	6.77763249e-02	6.83979943e-02	9.90910999e-01
2.00722323e+00	5.58886235e-02	5.73529497e-02	9.74468162e-01
2.01416863e+00	4.51777257e-02	4.58744067e-02	9.84813298e-01
